Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_diff [K],power,wear_rate
0,298.2,307.9,1462,45.5,171,0,9.7,66521,0.116963064
2,298.1,307.9,1759,28.6,176,0,9.8,50307.4,0.10005685
1,298.2,308,1535,38,179,0,9.8,58330,0.116612378
0,298.2,307.9,1491,39.7,181,0,9.7,59192.7,0.121395037
1,298.2,307.9,1551,36,186,0,9.7,55836,0.119922631
1,298.2,307.9,1769,27.2,188,0,9.7,48116.8,0.106274731
1,298.2,307.9,1551,34.1,190,0,9.7,52889.1,0.122501612
1,298.2,307.9,1544,31.4,192,0,9.7,48481.6,0.124352332
1,298.2,307.8,1528,31.1,194,0,9.6,47520.8,0.126963351
1,298.1,307.9,1614,35.8,196,0,9.8,57781.2,0.121437423
1,298.1,307.8,1432,49.8,198,0,9.7,71313.6,0.138268156
2,298.1,307.8,1384,43.7,200,0,9.7,60480.8,0.144508671
1,298.1,307.8,1540,37.8,203,0,9.7,58212,0.131818182
1,298,307.7,1407,43.9,205,0,9.7,61767.3,0.145700071
0,297.9,307.6,1418,43,207,0,9.7,60974,0.145980254
2,297.9,307.5,1647,30.8,212,0,9.6,50727.6,0.128718883
1,298,307.5,1644,32.8,215,0,9.5,53923.2,0.130778589
1,298,307.5,1792,27.9,217,0,9.5,49996.8,0.12109375
2,297.9,307.4,1610,34.6,219,0,9.5,55706,0.136024845
2,297.8,307.3,1804,26,222,0,9.5,46904,0.123059867
0,297.9,307.4,1604,36.1,225,1,9.5,57904.4,0.140274314
2,297.9,307.4,1403,52.8,0,0,9.5,74078.4,0
1,297.8,307.3,1438,44.5,3,0,9.5,63991,0.002086231
1,297.9,307.3,1824,26.3,5,0,9.4,47971.2,0.002741228
0,297.9,307.3,1663,28.7,7,0,9.4,47728.1,0.00420926
1,297.9,307.3,1502,36.7,12,0,9.4,55123.4,0.007989348
1,297.9,307.4,1606,35.5,14,0,9.5,57013,0.00871731
1,297.9,307.5,1561,37.7,16,0,9.6,58849.7,0.01024984
2,297.9,307.4,1435,42.9,18,0,9.5,61561.5,0.012543554
1,297.9,307.5,1602,38.3,21,0,9.6,61356.6,0.013108614
2,298.1,307.6,1764,27.7,23,0,9.5,48862.8,0.013038549
0,298,307.5,1683,27.8,26,0,9.5,46787.4,0.015448604
1,298,307.5,1618,35.2,31,0,9.5,56953.6,0.019159456
1,298,307.6,1509,41.6,33,0,9.6,62774.4,0.021868787
1,297.9,307.6,1550,39,35,0,9.7,60450,0.022580645
2,297.9,307.6,1519,44,37,0,9.7,66836,0.02435813
1,297.9,307.6,1481,38,40,0,9.7,56278,0.027008778
1,298.1,307.7,1289,48.3,42,0,9.6,62258.7,0.032583398
2,298,307.6,1844,23.8,44,0,9.6,43887.2,0.023861171
1,298,307.7,1479,42.5,47,0,9.7,62857.5,0.031778229
1,298,307.7,1430,47.3,49,0,9.7,67639,0.034265734
2,298.1,307.8,1636,36.7,51,0,9.7,60041.2,0.031173594
2,298.1,307.8,1503,44.7,54,0,9.7,67184.1,0.035928144
2,298.1,307.8,1608,32.6,57,0,9.7,52420.8,0.035447761
1,298.2,307.8,1521,42.9,60,0,9.6,65250.9,0.039447732
1,298.2,307.8,1439,41.6,62,0,9.6,59862.4,0.043085476
1,298.2,307.8,1627,31.5,64,0,9.6,51250.5,0.039336202
1,298.2,307.8,1749,26.1,66,0,9.6,45648.9,0.037735849
1,298.2,307.8,1530,35.9,68,0,9.6,54927,0.044444444
1,298.2,307.8,1355,51.3,70,0,9.6,69511.5,0.051660517
1,298.3,307.9,1551,33.8,72,0,9.6,52423.8,0.046421663
1,298.2,307.8,1515,46.7,74,0,9.6,70750.5,0.048844884
1,298.2,307.8,1388,48.6,76,0,9.6,67456.8,0.054755043
1,298.2,307.8,1585,34.6,78,0,9.6,54841,0.049211356
1,298.1,307.7,1523,37.7,80,0,9.6,57417.1,0.052527905
1,298.2,307.6,1369,54.5,82,0,9.4,74610.5,0.059897736
2,298.2,307.7,1681,31,84,0,9.5,52111,0.049970256
1,298.2,307.7,1503,38.3,87,0,9.5,57564.9,0.057884232
1,298.2,307.7,1459,44.5,89,0,9.5,64925.5,0.061000685
1,298.2,307.7,1688,32.4,91,0,9.5,54691.2,0.053909953
2,298.2,307.7,1952,21.6,93,0,9.5,42163.2,0.047643443
1,298.2,307.8,2029,19.9,96,0,9.6,40377.1,0.047313948
2,298.3,307.8,1457,52.5,98,0,9.5,76492.5,0.067261496
2,298.3,307.8,1392,50.4,101,0,9.5,70156.8,0.072557471
1,298.3,307.8,1906,22.1,104,0,9.5,42122.6,0.054564533
2,298.3,307.7,1602,33.4,106,0,9.4,53506.8,0.066167291
1,298.3,307.7,1465,49.4,109,0,9.4,72371,0.07440273
2,298.3,307.7,1439,43.8,111,0,9.4,63028.2,0.077136901
2,298.3,307.8,1330,55.4,114,0,9.5,73682,0.085714286
2,298.3,307.9,1485,42,117,0,9.6,62370,0.078787879
0,298.4,307.9,1700,28.2,120,0,9.5,47940,0.070588235
1,298.4,308,1515,42.8,125,0,9.6,64842,0.082508251
2,298.5,308.1,1501,39.2,127,0,9.6,58839.2,0.08461026
1,298.4,308,1380,47.6,130,0,9.6,65688,0.094202899
1,298.4,307.9,1544,35.9,132,0,9.5,55429.6,0.085492228
1,298.4,307.9,1743,27.3,134,0,9.5,47583.9,0.076878944
0,298.4,307.9,1948,21.4,136,0,9.5,41687.2,0.069815195
0,298.5,307.9,1260,54.2,141,0,9.4,68292,0.111904762
2,298.5,307.9,1640,33.1,146,0,9.4,54284,0.08902439
2,298.5,308,1363,49.2,149,0,9.5,67059.6,0.109317682
1,298.5,308,1379,49.6,152,0,9.5,68398.4,0.110224801
2,298.5,308,1713,25.8,154,0,9.5,44195.4,0.089900759
2,298.5,308,1461,51.9,157,0,9.5,75825.9,0.107460643
1,298.5,308,1624,29.8,160,0,9.5,48395.2,0.098522167
1,298.4,308,1526,41.1,162,0,9.6,62718.6,0.106159895
1,298.4,307.9,2381,14.2,164,0,9.5,33810.2,0.068878622
0,298.4,307.7,1626,31.1,166,0,9.3,50568.6,0.102091021
1,298.3,307.7,1576,33.8,171,0,9.4,53268.8,0.108502538
2,298.4,307.8,1617,31.6,173,0,9.4,51097.2,0.10698825
1,298.3,307.6,1942,20.6,176,0,9.3,40005.2,0.090628218
1,298.2,307.6,1492,37.2,178,0,9.4,55502.4,0.119302949
1,298.2,307.5,1470,51.3,180,0,9.3,75411,0.12244898
2,298,307.4,1463,46.5,182,0,9.4,68029.5,0.124401914
1,298,307.3,1424,46.5,185,0,9.3,66216,0.12991573
2,298.1,307.4,1363,60.1,187,0,9.3,81916.3,0.137197359
2,298.1,307.4,1335,56.2,190,0,9.3,75027,0.142322097
1,298.1,307.4,1608,33.9,193,0,9.3,54511.2,0.120024876
0,298,307.4,1606,35.2,195,0,9.4,56531.2,0.121419676
1,298.1,307.5,1684,33.1,200,0,9.4,55740.4,0.118764846
1,298.1,307.6,1950,20.3,202,0,9.5,39585,0.103589744
0,298.2,307.6,1460,48.6,204,0,9.4,70956,0.139726027
1,298.2,307.6,1511,31,209,1,9.4,46841,0.138318994
0,298.2,307.6,1318,55.7,0,0,9.4,73412.6,0
1,298.2,307.6,1368,51.8,5,0,9.4,70862.4,0.003654971
2,298.3,307.7,1717,27.1,7,0,9.4,46530.7,0.004076878
2,298.3,307.7,1520,41.4,10,0,9.4,62928,0.006578947
2,298.3,307.8,1485,42,13,0,9.5,62370,0.008754209
1,298.4,307.9,1981,23.2,16,0,9.5,45959.2,0.008076729
0,298.4,307.9,1605,31,18,0,9.5,49755,0.011214953
1,298.4,307.9,1446,45.3,23,0,9.5,65503.8,0.015905947
1,298.4,308,1508,47.9,25,0,9.6,72233.2,0.016578249
1,298.5,308,1384,59.5,27,0,9.5,82348,0.019508671
2,298.5,308,1519,37.3,29,0,9.5,56658.7,0.019091508
1,298.5,308,1404,48.1,32,0,9.5,67532.4,0.022792023
1,298.5,308.1,1564,31.1,34,0,9.6,48640.4,0.02173913
0,298.6,308.2,1555,36.8,36,0,9.6,57224,0.023151125
1,298.6,308.2,1325,54,41,0,9.6,71550,0.030943396
2,298.6,308.2,1488,44,43,0,9.6,65472,0.028897849
1,298.5,308.2,1595,32.3,46,0,9.7,51518.5,0.028840125
1,298.5,308.1,1662,28.6,48,0,9.6,47533.2,0.028880866
1,298.4,308,1571,37.4,50,0,9.6,58755.4,0.031826862
0,298.3,308,1553,41,52,0,9.7,63673,0.03348358
1,298.3,308,2886,3.8,57,1,9.7,10966.8,0.01975052
1,298.2,308,1538,38.2,59,0,9.8,58751.6,0.038361508
1,298.4,308.2,1618,33,61,0,9.8,53394,0.037700865
1,298.4,308.2,1364,45.9,63,0,9.8,62607.6,0.046187683
1,298.3,308,1442,47.3,65,0,9.7,68206.6,0.045076283
1,298.2,307.9,1313,67.3,67,1,9.7,88364.9,0.05102818
1,298.2,307.9,1847,23.6,69,0,9.7,43589.2,0.037357878
1,298.1,307.8,1524,40.8,71,0,9.7,62179.2,0.046587927
2,298.1,307.7,1445,48,73,0,9.6,69360,0.050519031
1,298.1,307.8,1761,28.2,76,0,9.7,49660.2,0.043157297
2,298.1,307.8,1514,43.5,78,0,9.7,65859,0.051519155
2,298.1,307.7,1498,38.3,81,0,9.6,57373.4,0.054072096
0,298.1,307.6,1542,37.1,84,0,9.5,57208.2,0.054474708
2,298,307.6,1508,41.8,89,0,9.6,63034.4,0.059018568
2,298,307.5,1431,52.9,92,0,9.5,75699.9,0.064290706
2,298,307.5,1427,45.1,95,0,9.5,64357.7,0.066573231
2,298,307.5,1524,36.3,98,0,9.5,55321.2,0.064304462
2,298,307.5,1427,43.6,101,0,9.5,62217.2,0.070777856
0,298.1,307.6,1496,44.1,104,0,9.5,65973.6,0.069518717
1,298.1,307.7,1388,40.3,109,0,9.6,55936.4,0.078530259
1,298.1,307.7,1495,48.1,111,0,9.6,71909.5,0.074247492
0,298.1,307.7,1376,56.2,113,0,9.6,77331.2,0.082122093
0,298,307.6,1593,32.2,118,0,9.6,51294.6,0.074074074
1,298,307.6,1654,28.9,123,0,9.6,47800.6,0.074365175
1,298.1,307.7,2567,12.8,125,1,9.6,32857.6,0.048694975
1,298.1,307.7,1767,27,127,0,9.6,47709,0.071873231
1,298.1,307.6,1364,53.8,129,0,9.5,73383.2,0.09457478
2,298.1,307.8,1569,31.2,131,0,9.7,48952.8,0.08349267
1,298.2,307.8,1476,36.8,134,0,9.6,54316.8,0.090785908
1,298.1,307.7,1479,45,136,0,9.6,66555,0.091954023
1,298.1,307.7,1650,34.1,138,0,9.6,56265,0.083636364
2,298.1,307.6,1565,36.3,140,0,9.5,56809.5,0.089456869
1,298.1,307.6,1460,46.5,143,0,9.5,67890,0.097945205
1,298.1,307.7,1664,27.6,145,0,9.6,45926.4,0.087139423
2,298.1,307.7,1435,40.9,147,0,9.6,58691.5,0.102439024
2,298.1,307.6,2066,19.2,150,0,9.5,39667.2,0.072604066
1,298.1,307.5,1493,43.7,153,0,9.4,65244.1,0.102478232
1,298.1,307.6,1354,43.3,155,0,9.5,58628.2,0.114475628
1,298.1,307.6,1488,39.4,157,0,9.5,58627.2,0.105510753
1,298.1,307.7,1414,48.7,159,0,9.6,68861.8,0.112446959
1,298.1,307.5,1391,57.4,161,0,9.4,79843.4,0.115744069
2,298,307.5,1784,27.8,163,0,9.5,49595.2,0.091367713
0,297.8,307.3,1516,40.1,166,0,9.5,60791.6,0.109498681
2,297.9,307.3,1420,47.8,171,0,9.4,67876,0.120422535
1,297.8,307.2,1351,56.3,174,0,9.4,76061.3,0.128793486
1,297.8,307.2,1880,23,176,0,9.4,43240,0.093617021
1,297.8,307.3,1859,24,178,0,9.5,44616,0.095750403
2,297.8,307.3,1315,54,180,0,9.5,71010,0.136882129
2,297.8,307.4,1330,51.7,183,0,9.6,68761,0.137593985
1,297.8,307.3,1327,61,186,1,9.5,80947,0.140165787
1,297.8,307.2,1498,38.1,188,0,9.4,57073.8,0.125500668
0,297.8,307.3,1555,35.8,190,0,9.5,55669,0.122186495
1,297.7,307.2,1518,35.8,195,0,9.5,54344.4,0.128458498
1,297.7,307.2,1392,43,197,0,9.5,59856,0.141522989
2,297.8,307.2,1456,39.6,199,0,9.4,57657.6,0.136675824
1,297.7,307.1,1715,30.2,0,0,9.4,51793,0
2,297.7,307.2,1405,43.7,2,0,9.5,61398.5,0.001423488
1,297.7,307.2,1668,37.8,5,0,9.5,63050.4,0.002997602
0,297.7,307.1,1855,22.5,7,0,9.4,41737.5,0.003773585
1,297.6,307.1,1496,39.2,12,0,9.5,58643.2,0.00802139
2,297.6,307.1,1471,44.9,14,0,9.5,66047.9,0.009517335
1,297.7,307.2,1444,40,17,0,9.5,57760,0.011772853
0,297.7,307.3,1514,38.6,19,0,9.6,58440.4,0.012549538
1,297.8,307.3,1412,50.7,24,0,9.5,71588.4,0.016997167
0,297.7,307.2,1429,44.1,26,0,9.5,63018.9,0.018194542
1,297.7,307.2,1668,32.7,31,0,9.5,54543.6,0.018585132
2,297.7,307.2,1372,52.8,33,0,9.5,72441.6,0.024052478
2,297.7,307.3,1365,49.2,36,0,9.6,67158,0.026373626
2,297.6,307.1,1526,39.1,39,0,9.5,59666.6,0.025557012
1,297.6,307.2,1486,40.6,42,0,9.6,60331.6,0.028263795
2,297.6,307.2,1470,42.6,44,0,9.6,62622,0.029931973
0,297.7,307.3,1249,62.8,47,0,9.6,78437.2,0.037630104
2,297.8,307.4,1752,26.1,52,0,9.6,45727.2,0.029680365
1,297.7,307.4,1643,36.5,55,0,9.7,59969.5,0.03347535
2,297.8,307.4,1488,36.1,57,0,9.6,53716.8,0.038306452
1,297.8,307.4,1355,45.8,60,0,9.6,62059,0.044280443
1,297.8,307.6,1607,30.3,62,0,9.8,48692.1,0.038581207
2,297.9,307.6,1609,30.3,64,0,9.7,48752.7,0.039776259
1,297.9,307.7,1517,44.4,67,0,9.8,67354.8,0.044166117
2,297.9,307.7,1517,39.5,69,0,9.8,59921.5,0.045484509
1,297.9,307.7,1546,37.6,72,0,9.8,58129.6,0.046571798
1,297.9,307.7,1567,34.7,74,0,9.8,54374.9,0.047223995
2,298.1,307.9,1662,28.9,76,0,9.8,48031.8,0.045728039
1,298.1,307.9,1502,41.8,79,0,9.8,62783.6,0.052596538
1,298.3,308,1361,56.9,81,0,9.7,77440.9,0.059515062
2,298.3,308.1,1630,32.7,83,0,9.8,53301,0.050920245
1,298.3,308,1486,42.3,86,0,9.7,62857.8,0.057873486
1,298.3,308.1,1840,21.5,88,0,9.8,39560,0.047826087
1,298.3,308.1,1326,58.4,90,0,9.8,77438.4,0.067873303
1,298.4,308.1,1367,57.8,92,0,9.7,79012.6,0.067300658
1,298.4,308.1,1598,32.7,94,0,9.7,52254.6,0.058823529
1,298.3,308,1363,50.1,96,0,9.7,68286.3,0.070432869
1,298.3,308,1242,62,98,0,9.7,77004,0.078904992
2,298.2,307.8,1566,33.8,100,0,9.6,52930.8,0.06385696
2,298.1,307.7,1424,47.7,103,0,9.6,67924.8,0.072331461
2,298.2,307.7,1608,33.8,106,0,9.5,54350.4,0.065920398
1,298.1,307.7,1705,29.1,109,0,9.6,49615.5,0.063929619
1,298,307.6,1548,45.8,111,0,9.6,70898.4,0.071705426
2,298,307.6,1581,43.4,113,0,9.6,68615.4,0.071473751
2,298,307.6,1472,46.7,116,0,9.6,68742.4,0.078804348
2,298,307.6,1792,26,119,0,9.6,46592,0.06640625
1,298,307.6,1683,32.8,122,0,9.6,55202.4,0.072489602
1,297.9,307.6,1503,40.7,124,0,9.7,61172.1,0.082501663
2,297.9,307.5,1642,32.4,126,0,9.6,53200.8,0.076735688
2,297.8,307.4,1902,24.3,129,0,9.6,46218.6,0.067823344
0,297.7,307.4,1432,40.2,132,0,9.7,57566.4,0.092178771
1,297.8,307.4,1512,40.8,137,0,9.6,61689.6,0.090608466
1,297.7,307.4,1764,29,139,0,9.7,51156,0.078798186
2,297.8,307.4,1438,43.6,141,0,9.6,62696.8,0.098052851
1,297.8,307.5,1631,29.9,144,0,9.7,48766.9,0.088289393
0,297.9,307.5,1880,23.3,146,0,9.6,43804,0.077659574
1,297.9,307.6,1344,54.3,151,0,9.7,72979.2,0.11235119
1,297.9,307.5,1574,35.8,153,0,9.6,56349.2,0.097204574
1,297.8,307.4,1418,41.2,155,0,9.6,58421.6,0.109308886
1,297.8,307.5,1372,54.1,157,0,9.7,74225.2,0.114431487
1,297.8,307.5,1388,40,159,0,9.7,55520,0.114553314
0,297.9,307.6,1493,36,161,0,9.7,53748,0.107836571
2,297.9,307.6,1505,40.1,166,0,9.7,60350.5,0.110299003
1,298,307.6,1694,29.1,169,0,9.6,49295.4,0.099763872
1,297.9,307.6,1968,20.4,171,0,9.7,40147.2,0.086890244
2,298,307.6,1569,35.6,173,0,9.6,55856.4,0.110261313
1,297.9,307.6,1687,29.1,176,0,9.7,49091.7,0.104327208
1,297.9,307.6,1430,52.4,178,0,9.7,74932,0.124475524
1,297.9,307.6,1504,42.4,180,0,9.7,63769.6,0.119680851
1,297.9,307.6,1977,20.2,182,0,9.7,39935.4,0.092058675
1,298,307.7,1435,45.6,184,0,9.7,65436,0.128222997
0,298,307.7,1547,36.8,186,0,9.7,56929.6,0.120232708
2,298.1,307.8,1316,57.2,191,0,9.7,75275.2,0.145136778
2,298,307.7,1621,34.9,194,0,9.7,56572.9,0.11967921
2,298,307.8,1492,40.2,197,0,9.8,59978.4,0.132037534
1,298,307.7,1643,32.3,200,0,9.7,53068.9,0.121728545
1,298,307.7,1492,38.7,202,0,9.7,57740.4,0.13538874
1,298,307.7,1387,50.8,204,0,9.7,70459.6,0.147080029
2,298.1,307.9,1463,47.3,206,0,9.8,69199.9,0.140806562
2,298.1,307.9,1496,40,0,0,9.8,59840,0
1,298.2,308,1658,30,3,0,9.8,49740,0.001809409
1,298.1,307.9,2161,17.5,5,0,9.8,37817.5,0.002313744
1,298.1,307.9,1665,32,7,0,9.8,53280,0.004204204
1,298,307.8,1716,26.6,9,0,9.8,45645.6,0.005244755
1,298,307.7,1529,34.1,11,0,9.7,52138.9,0.007194245
1,297.9,307.7,1353,50.7,13,0,9.8,68597.1,0.009608278
1,297.9,307.7,1537,37.7,15,0,9.8,57944.9,0.009759271
1,298,307.7,1606,30.8,17,0,9.7,49464.8,0.010585305
0,298,307.8,1314,47.8,19,0,9.8,62809.2,0.014459665
1,298,307.8,1623,29.9,24,0,9.8,48527.7,0.014787431
2,298,307.8,1483,50.9,26,0,9.8,75484.7,0.01753203
2,298.1,307.9,1569,37,29,0,9.8,58053,0.01848311
2,298.2,308,1969,21.7,32,0,9.8,42727.3,0.016251905
2,298.1,308,1686,29.3,35,0,9.9,49399.8,0.020759193
1,298.1,308,1638,35.1,38,0,9.9,57493.8,0.023199023
1,298.1,307.9,1698,33.3,40,0,9.8,56543.4,0.023557126
2,298.1,307.9,1377,55.1,42,0,9.8,75872.7,0.030501089
2,298.1,308,2129,18.4,45,0,9.9,39173.6,0.021136684
1,298.2,308,1411,42.4,48,0,9.8,59826.4,0.034018427
1,298.1,307.9,1517,40.8,50,0,9.8,61893.6,0.032959789
2,298.1,307.9,1303,53.9,52,0,9.8,70231.7,0.039907905
1,298.1,307.9,1578,35.6,55,0,9.8,56176.8,0.034854246
1,298.1,307.9,1425,58.2,57,0,9.8,82935,0.04
1,298.1,308,1456,42.4,59,0,9.9,61734.4,0.040521978
1,298.1,308,1704,30.9,61,0,9.9,52653.6,0.035798122
1,298.1,308.1,1791,27.3,63,0,10,48894.3,0.035175879
1,298.1,308.1,1616,32.8,65,0,10,53004.8,0.040222772
1,298.2,308.1,1622,34.9,67,0,9.9,56607.8,0.041307028
1,298.2,308.1,1462,49.9,69,0,9.9,72953.8,0.047195622
1,298.1,308.1,1410,45.8,71,0,10,64578,0.05035461
2,298.1,308,1543,41.9,73,0,9.9,64651.7,0.047310434
2,298,307.9,1479,47.6,76,0,9.9,70400.4,0.051386072
1,298,307.8,1839,22.7,79,0,9.8,41745.3,0.042958129
1,298,307.8,1266,60.5,81,0,9.8,76593,0.063981043
1,297.9,307.7,1593,34.9,83,0,9.8,55595.7,0.05210295
1,297.9,307.8,1459,46.9,85,0,9.9,68427.1,0.058259082
1,297.9,307.7,1308,55.2,87,0,9.8,72201.6,0.066513761
2,297.9,307.7,1364,46.8,89,0,9.8,63835.2,0.065249267
0,297.9,307.7,1618,35.9,92,0,9.8,58086.2,0.056860321
0,297.9,307.7,1464,43.2,97,0,9.8,63244.8,0.066256831
2,297.8,307.6,1352,49.4,102,0,9.8,66788.8,0.075443787
1,297.8,307.6,1446,51.4,105,0,9.8,74324.4,0.072614108
1,297.8,307.5,1448,51.2,107,0,9.7,74137.6,0.073895028
1,297.8,307.5,1391,48.6,109,0,9.7,67602.6,0.078360891
1,297.7,307.5,1379,43.3,111,0,9.8,59710.7,0.080493111
2,297.8,307.5,1405,46.9,113,0,9.7,65894.5,0.080427046
1,297.8,307.5,1581,33.1,116,0,9.7,52331.1,0.073371284
1,297.9,307.6,1515,40.5,118,0,9.7,61357.5,0.077887789
1,297.9,307.6,1589,37.8,120,0,9.7,60064.2,0.075519194
1,298,307.6,1281,50.8,122,0,9.6,65074.8,0.095238095
0,297.8,307.5,1631,31.3,124,0,9.7,51050.3,0.076026977
2,297.9,307.6,1202,67,129,0,9.7,80534,0.107321131
1,297.9,307.6,1298,52.7,132,0,9.7,68404.6,0.101694915
1,297.9,307.6,1612,30.7,134,0,9.7,49488.4,0.083126551
1,297.9,307.6,1747,25.3,136,0,9.7,44199.1,0.077847739
1,298,307.6,1450,48.7,138,0,9.6,70615,0.095172414
1,298,307.7,1422,45.6,140,0,9.7,64843.2,0.098452883
2,298.1,307.7,1419,47.4,142,0,9.6,67260.6,0.100070472
2,298.1,307.7,1633,30.7,145,0,9.6,50133.1,0.088793631
1,298,307.7,1442,43.6,148,0,9.7,62871.2,0.102635229
0,298,307.6,1420,45.8,150,0,9.6,65036,0.105633803
2,298,307.6,1301,58.5,155,0,9.6,76108.5,0.119139124
1,298,307.6,1385,45,158,0,9.6,62325,0.114079422
2,298,307.7,1487,41.3,160,0,9.7,61413.1,0.107599193
2,298,307.6,1459,44.4,163,0,9.6,64779.6,0.111720356
2,298,307.5,1387,45.5,166,0,9.5,63108.5,0.119682769
1,298.1,307.7,1537,40.8,169,0,9.6,62709.6,0.109954457
1,298.1,307.6,1498,42.9,171,0,9.5,64264.2,0.114152203
2,298.2,307.8,1599,31.2,173,0,9.6,49888.8,0.10819262
0,298.3,307.9,1420,39.2,176,0,9.6,55664,0.123943662
1,298.2,307.9,1785,23.4,181,0,9.7,41769,0.10140056
1,298.2,307.8,1423,48.1,183,0,9.6,68446.3,0.128601546
2,298.2,307.8,1583,36.6,185,0,9.6,57937.8,0.116866709
1,298.2,307.8,1375,46.6,188,0,9.6,64075,0.136727273
2,298.3,308,1463,42.5,190,0,9.7,62177.5,0.12987013
2,298.2,307.9,1403,45.1,193,0,9.7,63275.3,0.137562366
1,298.3,308,1451,47.1,196,0,9.7,68342.1,0.135079256
2,298.4,308,1416,38.2,198,1,9.6,54091.2,0.139830508
1,298.3,308.1,1672,41.3,0,0,9.8,69053.6,0
0,298.3,308,1637,30.8,2,0,9.7,50419.6,0.001221747
1,298.4,308,1540,37.8,7,0,9.6,58212,0.004545455
1,298.4,308.1,1279,53.1,9,0,9.7,67914.9,0.007036747
1,298.4,308.2,1604,34.9,11,0,9.8,55979.6,0.006857855
1,298.5,308.2,1654,27.1,13,0,9.7,44823.4,0.007859734
2,298.5,308.2,1564,37.5,15,0,9.7,58650,0.009590793
1,298.5,308.2,1451,47.5,18,0,9.7,68922.5,0.012405238
1,298.5,308.3,1504,38,20,0,9.8,57152,0.013297872
2,298.5,308.3,1381,50.5,22,0,9.8,69740.5,0.015930485
1,298.6,308.4,1562,34.4,25,0,9.8,53732.8,0.016005122
1,298.5,308.3,1811,24.7,27,0,9.8,44731.7,0.01490889
2,298.6,308.3,1717,28.7,29,0,9.7,49277.9,0.016889924
1,298.6,308.3,1278,60.5,32,0,9.7,77319,0.025039124
1,298.7,308.5,1616,30.2,34,0,9.8,48803.2,0.021039604
1,298.6,308.4,1397,46.4,36,0,9.8,64820.8,0.025769506
1,298.6,308.4,1485,42.9,38,0,9.8,63706.5,0.025589226
1,298.6,308.4,1310,59.7,40,0,9.8,78207,0.030534351
1,298.5,308.2,1301,66.3,42,1,9.7,86256.3,0.032282859
1,298.5,308.3,1458,44,44,0,9.8,64152,0.030178326
1,298.7,308.5,1483,42.5,46,0,9.8,63027.5,0.031018206
1,298.7,308.5,1375,46.4,48,0,9.8,63800,0.034909091
2,298.7,308.5,1660,27,50,0,9.8,44820,0.030120482
0,298.7,308.4,1560,33.3,53,0,9.7,51948,0.033974359
1,298.7,308.5,1480,42.2,58,0,9.8,62456,0.039189189
1,298.7,308.4,1373,46.9,60,0,9.7,64393.7,0.043699927
1,298.7,308.5,1444,54.2,62,0,9.8,78264.8,0.042936288
2,298.7,308.6,1722,24.7,64,0,9.9,42533.4,0.037166086
1,298.7,308.5,1469,39.9,67,0,9.8,58613.1,0.045609258
2,298.7,308.5,1360,52.9,69,0,9.8,71944,0.050735294
1,298.7,308.4,1750,25.8,72,0,9.7,45150,0.041142857
2,298.7,308.3,1349,46.6,74,0,9.6,62863.4,0.054855448
1,298.7,308.5,1668,35.2,77,0,9.8,58713.6,0.04616307
1,298.9,308.6,1400,49.5,79,0,9.7,69300,0.056428571
1,298.8,308.6,1331,62.8,81,0,9.8,83586.8,0.060856499
1,298.8,308.5,1444,42.2,83,0,9.7,60936.8,0.057479224
0,298.8,308.5,1359,47.6,85,0,9.7,64688.4,0.06254599
2,298.8,308.5,1425,47.4,90,0,9.7,67545,0.063157895
2,298.9,308.6,1469,34.2,93,0,9.7,50239.8,0.063308373
1,299,308.7,1892,22.8,96,0,9.7,43137.6,0.050739958
0,299,308.7,1940,19.9,98,0,9.7,38606,0.050515464
1,299,308.8,1405,55.2,103,0,9.8,77556,0.073309609
2,299,308.9,1449,39.6,105,0,9.9,57380.4,0.072463768
1,299.1,308.9,1686,29.6,108,0,9.8,49905.6,0.06405694
1,299.1,308.9,1680,27.2,110,0,9.8,45696,0.06547619
2,299.1,308.9,1397,52.4,112,0,9.8,73202.8,0.080171797
2,299.2,309,1597,30.3,115,0,9.8,48389.1,0.072010019
1,299.3,309.1,1470,41.1,118,0,9.8,60417,0.080272109
2,299.3,309.1,1703,31.3,120,0,9.8,53303.9,0.070463887
1,299.3,309.1,1388,45.5,123,0,9.8,63154,0.088616715
1,299.3,309.2,1775,24.2,125,0,9.9,42955,0.070422535
1,299.3,309.2,1465,41.5,127,0,9.9,60797.5,0.08668942
2,299.3,309.2,1586,37.9,129,0,9.9,60109.4,0.081336696
2,299.5,309.3,1675,29.2,132,0,9.8,48910,0.07880597
2,299.4,309.2,1470,44.4,135,0,9.8,65268,0.091836735
1,299.5,309.3,1477,40.4,138,0,9.8,59670.8,0.093432634
1,299.5,309.3,1382,61,140,0,9.8,84302,0.10130246
2,299.6,309.4,1605,29.8,142,0,9.8,47829,0.08847352
1,299.6,309.4,1643,32.9,145,0,9.8,54054.7,0.088253195
1,299.5,309.3,1333,54.1,147,0,9.8,72115.3,0.110277569
1,299.5,309.3,1520,42.3,149,0,9.8,64296,0.098026316
2,299.5,309.3,1902,24,151,0,9.8,45648,0.079390116
0,299.5,309.4,1386,44.4,154,0,9.9,61538.4,0.111111111
1,299.6,309.5,1803,27.7,159,0,9.9,49943.1,0.088186356
1,299.7,309.6,1359,50.7,161,0,9.9,68901.3,0.118469463
2,299.7,309.6,1477,42.7,163,0,9.9,63067.9,0.110358835
